feature,coef,importance_abs
std_g,0.9280804976070688,0.9280804976070688
std_b,-0.8708254517297236,0.8708254517297236
height,-0.5914257604471094,0.5914257604471094
mean_b,0.508486615721669,0.508486615721669
hist_03,0.39964995767717765,0.39964995767717765
mean_g,-0.3793335762855227,0.3793335762855227
width,0.36894664908982666,0.36894664908982666
hist_14,-0.3640766609829849,0.3640766609829849
hist_10,-0.31728258511009255,0.31728258511009255
hist_00,0.26561403697617947,0.26561403697617947
edge_density,0.25895491736320797,0.25895491736320797
hist_04,-0.23106078595191806,0.23106078595191806
hist_15,-0.2197654404119741,0.2197654404119741
brightness,-0.20438414231149626,0.20438414231149626
mean_r,0.14773107906120234,0.14773107906120234
aspect_ratio,0.1450998605318569,0.1450998605318569
hist_05,0.1448727891395858,0.1448727891395858
hist_11,0.13308016165729686,0.13308016165729686
std_r,0.12613865903854599,0.12613865903854599
hist_08,-0.1022895052928427,0.1022895052928427
hist_12,-0.07759416328842848,0.07759416328842848
hist_06,0.07338777862664227,0.07338777862664227
hist_09,0.07247738986595038,0.07247738986595038
hist_01,0.060484535743532845,0.060484535743532845
hist_02,0.05193052315357998,0.05193052315357998
hist_13,0.03735158863904015,0.03735158863904015
contrast,0.02361231564940314,0.02361231564940314
hist_07,-0.02210274456963924,0.02210274456963924
